fac,hospital_name,hospital_type,hospital_type_group,robots_allowed,cihi_peer_group,licensed_beds,hospital_name_self_reported,plan_period_start,plan_period_end,plan_start_year,plan_period_start_raw,plan_period_end_raw,plan_period_parse_ok,vision,mission,values,purpose,extraction_quality,extraction_notes,source_type,extraction_date,direction_number,direction_name,direction_type,direction_description,key_actions
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,Community — Small,TRUE,NA,NA,Lennox and Addington County General Hospital,2025-01-01,2028-01-01,2025,2025,2028,TRUE,"To be a leading rural health hub where hospital and community services work together to provide exceptional care, close to home.","We are a forward-looking community hospital and health hub, serving people and communities in partnership.",Togetherness | Empowerment | Adaptability,NA,full,NA,pdf,2026-03-27,1,Exceptional Care,direction,"LACGH will invest in a Quality Improvement transformation, annually identifying 1-2 areas or units that require special focus.",NA
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,Community — Small,TRUE,NA,NA,Lennox and Addington County General Hospital,2025-01-01,2028-01-01,2025,2025,2028,TRUE,"To be a leading rural health hub where hospital and community services work together to provide exceptional care, close to home.","We are a forward-looking community hospital and health hub, serving people and communities in partnership.",Togetherness | Empowerment | Adaptability,NA,full,NA,pdf,2026-03-27,2,Trusted Relationships,direction,"LACGH actively fosters inclusion and respect through a systemic anti-racism framework, including Indigenous People.",NA
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,Community — Small,TRUE,NA,NA,Lennox and Addington County General Hospital,2025-01-01,2028-01-01,2025,2025,2028,TRUE,"To be a leading rural health hub where hospital and community services work together to provide exceptional care, close to home.","We are a forward-looking community hospital and health hub, serving people and communities in partnership.",Togetherness | Empowerment | Adaptability,NA,full,NA,pdf,2026-03-27,3,Relentless Communications,direction,"LACGH will pursue a robust multi-channel communications/engagement strategy to enhance patient experiences, improve patient care, enhance teamwork, help attract staff, and maintain our strong reputation in the community.",NA
593,Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,Community — Small,TRUE,NA,NA,Middlesex Hospital Alliance,2024-01-01,NA,2024,2024,NA,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,1,Collaborate for Exceptional Care and Experiences,direction,NA,"Provide compassionate care and patient-centered experiences through communication and engagement with our patients, families and care providers with a specific focus on local Indigenous communities. | Continue to enhance quality and safety in alignment with our quality priorities. | Leverage technology to advance the next phase of digital care delivery."
593,Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,Community — Small,TRUE,NA,NA,Middlesex Hospital Alliance,2024-01-01,NA,2024,2024,NA,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,2,"Engage, Support and Inspire Our People",direction,NA,"Acknowledge, respect and embrace diversity, equity, inclusion and antiracism in our environments. | Build on a culture of empowering engagement, safety, trust, belonging and purpose. | Enhance our focus on wellness and recognition, aiming to be an organization of choice for employees, physicians and volunteers."
593,Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,Community — Small,TRUE,NA,NA,Middlesex Hospital Alliance,2024-01-01,NA,2024,2024,NA,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,3,Advance How We Deliver Care,direction,NA,"Harness innovative ways of expanding access to high quality care for our local and rural communities. | Invest in relationships and collaborate with partners to achieve our vision and strategic priorities, making the healthcare system more integrated for our patients. | Advance clinical, information technology, capital infrastructure and financial opportunities to respond to the evolving and future needs of our hospitals and communities."
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,TRUE,NA,NA,Stevenson Memorial Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,1,PEOPLE,direction,"Creating a work environment that values and recognizes the contribution of every staff member in creating a positive patient care experience. Creating and upholding a culture of continuous learning, focused on collaboration and teamwork.",NA
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,TRUE,NA,NA,Stevenson Memorial Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,2,CARE,direction,Keeping the patient at the center of every care discussion and decision. Ensuring that patient values inform every aspect of delivery.,NA
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,TRUE,NA,NA,Stevenson Memorial Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,3,PARTNERSHIPS,direction,Working collaboratively with local and community health care providers to continue to develop our care network and availability to offer a seamless care experience for our patients.,NA
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,TRUE,NA,NA,Stevenson Memorial Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,4,INVESTMENTS,direction,"Operating appropriately within fiscal constraints to maximize investments in staff, equipment, infrastructure and improvement to provide high quality care for present and future patients.",NA
