ACCOUNTING_PERIOD,report_mapping_id,FAC_ROLLUP,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74
2018/2019YE,4,592,29589046,26851150,0.0911842679,0.0727122696,0.0925070467,0.0828222715,2.904583304,6728929,,-0.495005484,27.673958417,0.5549757581,0.0566836752,0.0316950345,0.0615609751,0.0626671592,0.0761743196,0.0380087169,0.0377954556,,0.0229857376,0.0005196535,0.0569335148,,349.96518429,58.131835484,94.050752466,47.67848271,0.1403817768,,0.1234333154,0.0193949191,0.0813624979,,168.43435897,22.955897436,145.29282051,0.0144261396,0.8626079702,0.4953469978,0.0290303605,0.0261580613,0.0385218614,0.0313182182,11043,,,,,,11043,229,3022,3251,74.350684932,27138,2397,16898,46433,,,,,,,,,,,,,,,
2018/2019YE,4,593,11728279,10984780,0.0631031783,0.0583598231,0.0602962149,0.0900272922,5.9626508623,5153038,,-0.070477504,4.814854223,0.5101196124,0.1496794841,0.0117650127,0.0460804865,0.0125598147,0.0928215139,0.0606586835,0.037965909,,0.0120092912,,0.0663401919,,525.29146247,60.320092855,98.375337494,46.033274887,0.1993384143,,0.1112749084,0.0283626353,0.0993081779,,64.929230769,10.85025641,54.078974359,0.2463352605,0.8328910372,0.6514018038,0.0501083558,0.0321097123,0.0326239109,0.0322982798,3877,,,,,,3877,,162,162,29.024657534,10594,,1493,12087,,,,,,,,,,,,,,,
2018/2019YE,4,596,29336749,29323197,0.0004583686,0.0004509519,0.0004614076,0.1052919081,0.8962843116,-709951,,,32.348044077,0.6177023451,0.1093063744,0.0488398379,0.0383181868,0.0235350836,0.0578154448,0.0433373052,0.0124692341,,0.0051019356,,0.0435742525,,525.16346245,51.654323326,93.309637005,52.148737682,0.108703533,,0.1191800724,0.0543591529,0.0605983606,,181.09538462,25.849230769,154.73025641,0.0032601596,0.8544130307,0.788676848,0.0357806902,0.0182428338,0.018981571,0.018471265,10589,,,,,,10589,397,3515,3912,102.24383562,37319,555,31619,69493,,,,,,,,,,,,,,,
2018/2019YE,4,597,17323354,18342513,-0.058371852,-0.021861174,-0.038928432,0.2314527545,0.5884640091,-2758706,0.4174235149,,16.759747847,0.6366816721,0.0606344544,0.0269903701,0.0954235334,0.014584184,0.0480702709,0.0388813953,0.0355843238,,0.0199786512,,0.0231711448,,427.8442708,53.734043289,76.247311185,47.844836306,0.1161490186,,0.1467559319,0.051664318,0.0587293394,,129.79179487,9.2774358974,120.51435897,,0.9285206287,0.541784484,0.0417553709,,,,6269,,,,8192,,14461,153,710,863,50.654794521,18489,1502,,19991,,,,,,,,,,,,,,,
2018/2019YE,4,599,21650436,21425643,0.0102506887,0.0045252362,0.0112375961,0.1390967341,1.0243905231,247136,0.0256728316,-0.039851502,25.598120365,0.5746518712,0.1103841675,0.0190287454,0.0757281955,0.0122887837,0.0784642085,0.0487485706,0.043994881,,0.0093843006,,0.0273262759,,452.18848217,48.383080832,87.628897278,47.380426998,0.1318681483,,0.1210276189,0.0361050444,0.0876933447,,139.62717949,9.1871794872,130.44,0.0232450518,0.9342020692,0.5710236141,0.0407124515,0.0171479611,0.0556338152,0.0335910023,7684,,,,2943,,10627,39,2330,2369,47.635616438,17387,,10197,27584,,,,,,,,,,,,,,,
2018/2019YE,4,600,9445062,9844652,-0.041778364,-0.032090982,-0.03384999,0.1594022358,2.1406492977,2004690,,,75.716035288,0.7367477122,0.0187277648,0.0211489189,0.0514031046,0.0082932655,0.0465708907,0.0022749821,0.0444810985,,0.0042351997,,0.0661170629,,261.66178522,47.8311638,62.599895377,40.791391031,0.1396963258,,0.1929905806,0.027908713,0.0512926509,,95.428205128,7.86,87.568205128,0.0000214956,0.9176344144,0.7607359444,0.0698198198,0.068437108,0.0699034615,0.0687991154,3465,,,,,9441,12906,,,,14.057534247,5131,,,5131,,,,,,,,,,,,,,,
2018/2019YE,4,601,81477108,79466114,0.0245332373,0.0251609324,0.0246133116,0.5544377823,0.7298306602,-5459776,,-0.001219297,12.912846987,0.5833780162,0.0937226094,0.0011522288,0.0457907473,0.0056112834,0.0289435024,0.0042048224,0.0005222981,,0.0118322804,0.153777957,0.0710642546,,255.76999404,30.823409226,82.81142718,46.07970578,0.1427077178,,0.2778993904,0.0189806765,0.0304387921,,540.30205128,83.389230769,434.2774359,0.0044955174,0.8037678829,0.6967910411,0.0225726467,0.014617311,0.1195950461,0.0438893503,,,102293,,,,102293,,,,,,,2725,2725,,,,,,,,,,,,,,,
2018/2019YE,4,605,4560806,4560806,0,0,0,0.6673796254,,,,,,0.8233268418,0.0059868804,0.0090111265,0.0530358011,0.0254937395,0.0256489752,0.0117117457,,,0.0280937185,,0.0176911713,,203.18422296,42.429932294,48.965633488,34.916257532,0.0947738185,,0.2580899078,,0.0256489752,,55.244102564,0.0000101,53.332307692,0.0062486052,0.965393684,0.6602277088,0.0565703754,0.0055475465,0.0039559849,0.0047720638,,,,,12702,,12702,,,,,,,,,,,,,,,,,,,,,,,
2018/2019YE,4,606,346263295,339298369,0.0199063213,0.0195101244,0.0125713387,0.0920425607,1.2090065016,17156552,,,13.113600989,0.5475733277,0.0997786784,0.0639613949,0.0404580065,0.0688848797,0.0708341611,0.0268475047,0.0404342375,,0.0074743025,0.0002894066,0.0334641003,,546.17989588,30.710467604,104.12403455,49.856850923,0.1114167203,,0.1004013171,0.0199053654,0.0775280961,,2012.8153846,306.78153846,1691.0102564,0.0035220939,0.8401218857,0.7050762626,0.0452542616,0.0185643622,0.0165250737,0.0179737001,111520,5670,13126,3518,,,133834,6153,20640,26793,237.69041096,86757,37351,137213,261321,,,,,,,,,,,,,,,
2018/2019YE,4,611,17771316,17564700,0.0112773977,0.0074374428,0.0130171489,0.1485908034,1.8975764583,2716534,,,47.568051738,0.6502420128,0.1053068074,0.008065245,0.0616064664,0.0132556672,0.0529739283,0.027538272,0.0315389657,,0.0049708214,0.0002472526,0.0442545613,,228.6575991,40.441421923,73.19282302,46.459937653,0.1737270054,,0.1356303404,0.0351525725,0.0601920595,,134.23794872,24.661538462,108.75230769,0.020364626,0.8101457802,0.7113885551,0.0263463143,0.0421988726,0.0500596494,0.04553982,5706,,,,3232,3533,12471,,112,112,48.575342466,17730,,4591,22321,,,,,,,,,,,,,,,
2018/2019YE,4,613,75170640,73366850,0.0237139246,0.0489682907,0.0332512614,0.096574629,1.1630403157,2647163,0.0869585607,-0.184398698,36.236474097,0.8061716153,0.0090096737,0.0110032998,0.039175216,0.0176759391,0.025852674,0.0289222782,0.0214378508,,0.0061581866,0.0003284549,0.0342648117,,390.63162166,40.946509221,63.71547747,46.248860209,0.1259039783,,0.1326047804,0.0089967671,0.0276051317,,673.54358974,68.569230769,602.15641026,0.0165668258,0.8940125323,0.6329921147,0.0445022327,0.005511971,0.009059447,0.0066140023,,,,33624,51400,,85024,,,,,,,11844,11844,,,,,,,,,,,,,,,
2018/2019YE,4,619,73415627,73291131,0.0016306957,0.0014978592,0.0016790281,0.0809663044,0.2175605341,-27979407,,,35.719534977,0.6216373017,0.0992788784,0.0523844708,0.0498401981,0.0190772764,0.0557894619,0.0216525295,0.0205621786,,0.0064306431,,0.0533470614,,496.49665924,37.172043258,81.413368416,46.314725065,0.0984733029,,0.1146294428,0.0249178114,0.0618221802,,535.17230769,66.681538462,465.87282051,0.0267486839,0.8705099532,0.6260953018,0.0558960236,0.0169063568,0.0127090818,0.0155124894,19743,2296,6741,1666,13416,,43862,1013,8539,9552,76.410958904,27890,,27555,55445,,,,,,,,,,,,,,,
2018/2019YE,4,624,23429776,21021427,0.1024036888,0.0966378546,0.1041440682,0.0920411702,0.9974456133,-15933,,,39.1099898,0.59591898,0.1383444286,0.0281576827,0.0487653125,0.0136029843,0.0705613723,0.0142211065,0.0288632105,,0.0076245694,,0.0539403533,,381.1289527,42.797498459,86.67284255,46.47422179,0.1041268532,,0.1181300681,0.0353516276,0.0760627557,,142.4625641,20.986153846,121.35230769,0.0305375414,0.8518189214,0.7028548095,0.0356857346,0.024910064,0.0182865225,0.022718324,11353,,,,,,11353,25,1793,1818,52.575342466,19190,,6893,26083,,,,,,,,,,,,,,,
