accounting_period,report_mapping_id,fac_rollup,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74
2021/2022YE,4,592,36683328,34003493,0.0720676174,0.0648699438,0.0730381315,0.1303957209,1.2486308383,1672703,,-0.55003189,27.977886533,0.5274007806,0.0897595279,0.0319034565,0.0571472688,0.0759885436,0.0799279889,0.0254462754,0.0431778701,,0.0173555398,,0.0518927484,,404.47378078,69.781361661,101.09447963,48.964096662,0.1436174614,,0.1198463873,0.0158211515,0.088338697,,198.62717949,32.336410256,165.48820513,0.0273383831,0.8331599208,0.5460349672,0.0471234978,0.0444600699,0.0619772799,0.0510687985,10961,,,,,,10961,261,3101,3362,65.843835616,24033,3224,35020,62277,,,,,,,,,,,,,,,
2021/2022YE,4,593,13232213,13176534,0.0041627491,0.0040586278,0.0041798666,0.101445413,3.8150259284,6134710,,-0.044817947,2.6927609972,0.5119735002,0.1489473346,0.0130784901,0.0437900623,0.0115529457,0.0600974166,0.0674013128,0.0413799767,,0.0266108857,,0.0751680755,,643.38096487,71.228631358,99.675139278,46.981179747,0.1931295176,,0.1264363806,0.0314792785,0.0651912306,,79.252820513,11.390769231,65.94,0.2552140323,0.8320208615,0.7003818209,0.0555131837,0.0578285029,0.0321157952,0.0483839002,3814,,,,,,3814,,24,24,25.849315068,9435,,1576,11011,,,,,,,,,,,,,,,
2021/2022YE,4,596,37647220,37600881,0.0012234985,-0.000934284,0.0012303668,0.0911053712,1.337347571,2783583,0.030026263,,30.012994824,0.6033844721,0.0967515668,0.0444082787,0.0359703128,0.0205681938,0.07759674,0.0592373268,0.0144078388,,0.0065890577,,0.0410862125,,677.3702464,50.640167364,96.936259952,51.430325837,0.1777065081,,0.1010622778,0.0417056289,0.0802828993,,230.19538462,30.122564103,199.50307692,,0.8666684489,0.8136098535,0.0452856676,0.0210877274,0.0224912764,0.0214578028,10767,,,,,,10767,426,2757,3183,43.139726027,15746,473,31639,47858,,,,,,,,,,,,,,,
2021/2022YE,4,597,20663674,21256690,-0.027634804,-0.006510164,-0.015217841,0.1703052121,0.6267993562,-3594560,0.258286156,,20.65992809,0.6400965687,0.0380595457,0.0308688671,0.1226276735,0.0177451196,0.0424624996,0.0339824807,0.0362435902,,0.0141928654,0.0011286184,0.0225921712,,369.23599411,45.110397644,75.992131568,47.802333492,0.1699501885,,0.1355307742,0.0353118916,0.0512260201,,156.03333333,13.824102564,142.20923077,,0.9114028889,0.6170554074,0.0489947401,0.0116946573,0.0187603631,0.0144116845,9278,,,,7697,,16975,136,877,1013,42.769863014,15611,391,,16002,,,,,,,,,,,,,,,
2021/2022YE,4,599,27403894,26674544,0.0261458138,0.0363654871,0.0249793312,0.145941905,1.903756681,8758259,0.6233423084,,19.107345518,0.5124230469,0.1075579244,0.0188400122,0.0707776308,0.0112073339,0.0816277411,0.1150487666,0.0408286021,,0.0085917982,,0.0330971437,,445.61589715,54.348254505,102.46782403,49.667163319,0.1697912151,,0.0973811186,0.0291028989,0.091251743,,149.31230769,10.961025641,137.72666667,0.0357279584,0.9224066575,0.549629796,0.0559654113,0.048930848,0.1274525861,0.0832224702,7471,,,,3185,,10656,28,2084,2112,40.638356164,14833,,8345,23178,,,,,,,,,,,,,,,
2021/2022YE,4,600,10247454,10432157,-0.017808324,-0.003662307,-0.008597698,0.1274442413,2.3126698191,2383198,,,74.662727181,0.716576053,0.0166558705,0.0237646981,0.0599604558,0.0063581918,0.0586045484,,0.044447805,,0.0055600173,,0.06807236,,284.12004175,59.601687543,67.977819738,43.240490377,0.1694295316,,0.1957498431,0.0217002722,0.063808901,,92.780512821,6.2230769231,86.557435897,0.0047147389,0.9329268967,0.8441733779,0.0543158166,0.0674176578,0.0968458352,0.0739701519,2106,,,,,9390,11496,,,,12.98630137,4740,,21,4761,,,,,,,,,,,,,,,
2021/2022YE,4,601,76080625,79960247,-0.050642658,-0.046063383,-0.050842263,0.5189020005,0.5640828086,-7941355,,,13.86657677,0.5879701969,0.0994839651,0.0017491086,0.043990963,0.0053406469,0.022962983,0.0040923217,0.0005190812,,0.0093531464,0.1718672175,0.0526703696,,266.56710895,44.426684311,91.860371908,49.53256925,0.1439126464,,0.3119516568,0.0147941882,0.0242314297,,514.61333333,81.277948718,407.10153846,0.0054119327,0.791082376,0.7584958085,0.0389902917,0.0289251701,0.1119932403,0.0491198837,,,85391,,,,85391,,,,,,,739,739,,,,,,,,,,,,,,,
2021/2022YE,4,605,5218411,5218411,0,0,0,0.7091493943,,,,,,0.841284253,0.0061087561,0.0150885011,0.0470748663,0.0177569379,0.0242334304,0.0126216582,,,0.0201607348,,0.0156708623,,283.62355531,44.831590534,47.203652613,34.667332612,0.0775017529,,0.2226056936,,0.0242334304,,65.010769231,0.0000101,63.308205128,0.0024716315,0.9738110451,0.7888462316,0.0456693157,0.0130284581,0.0062810613,0.009728951,,,,,10902,,10902,,,,,,,,,,,,,,,,,,,,,,,
2021/2022YE,4,606,419237082,401205175,0.0425584932,0.0417066037,0.0420118654,0.0727087443,1.1239981707,21496741,,,14.050993402,0.5749486898,0.1024540761,0.0687925536,0.040650594,0.0820979249,0.0689035999,0.0241379639,0.0403358481,,0.0045082736,0.0014439639,-0.008273488,,699.40739534,29.975370045,104.83098067,52.056883764,0.1520071042,,0.0913907828,0.0201406089,0.0753391164,,2396.1507692,364.51435897,2012.1630769,0.0020079745,0.8397481088,0.7218831404,0.0522396939,0.0254326544,0.026109985,0.0255968412,112705,5215,10330,2033,,,130283,5258,15355,20613,225.15068493,82180,51451,450884,584515,,,,,,,,,,,,,,,
2021/2022YE,4,611,21711673,21077179,0.0284460253,0.0195659526,0.0316732316,0.113063823,1.5768130603,2495246,,,55.386214574,0.6606116498,0.109668176,0.0099366739,0.0561791194,0.0132108304,0.0483456005,0.0126571034,0.0222238845,,0.0174387918,0.00066489,0.0490632804,,290.48633007,46.905607663,76.578261821,48.244405255,0.2043464193,,0.1334033845,0.0309314407,0.0537462969,,156.47846154,22.627692308,132.07333333,0.00383204,0.844035224,0.6655669807,0.0371044632,0.0460086007,0.0549312039,0.0498989713,4290,,,,2132,3601,10023,,,,42.471232877,15502,,3427,18929,,,,,,,,,,,,,,,
