Facility ID,Facility,Facility Type,Region,Average Beds Staffed and in Operation,Acute Patient Days,ICU Patient Days,Rehab Patient Days,MH Patient Days,Chronic Patient Days,ELDCAP Patient Days,Total Patient Days (incl. ER),Visits Face-to-Face (Contracted-Out),Visits Face-to-Face (In-House) (incl. ER Visits),Visits Telephone (In-House),ER Visits,Day Surgery or Surgical Cases,Separations
,,,,,,,,,,,,,,,,,
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,,32,"13,926",,,,,,"13,926",,"42,883","1,394","29,539","4,373","1,679"
593,NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,,14,"4,960",,,,,,"4,960",,"14,997",,"13,731",164,593
596,ALLISTON STEVENSON MEMORIAL,Small Hospital,,37,"13,078",,,,,,"13,078",,"60,539",,"30,116","4,085","2,409"
597,ALMONTE GENERAL,Small Hospital,,52,"6,652",,,,"7,045",,"13,697",,"21,798",97,"15,935",992,"1,672"
599,ARNPRIOR & DISTRICT MEMORIAL,Small Hospital,,44,"8,457",,,,"2,769",,"11,226",,"24,423",,"17,503","2,644","1,101"
600,ATIKOKAN GENERAL,Small Hospital,,41,"2,286",,,,,"10,310","12,596",,"5,321",1,"5,281",,"5,182"
601,GUELPH HOMEWOOD,Specialty Mental Health Hospital,,303,,,,"90,763",,,"90,763",,"1,129","1,153",,,"2,082"
605,TORONTO ST. JOSEPH'S INFIRMARY,Chronic/Rehab Hospital,,35,,,,,"11,664",,"11,664",,,,,,40
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,,462,"141,446","5,590","3,574","12,260",,,"162,870",,"305,297","20,389","95,724","24,754","21,372"
611,BLIND RIVER NORTH SHORE HN,Small Hospital,,43,"4,768",,,,"2,817","3,644","11,229",,"24,506",967,"20,198",,534
613,TORONTO WEST PARK,Chronic/Rehab Hospital,,,,,,,,,,,,,,,
619,BROCKVILLE GENERAL,Large Community Hospital,,172,"33,446","2,845","7,966","7,350","9,176",,"60,783",,"59,066",,"28,150","9,842","6,322"
624,CAMPBELLFORD MEMORIAL,Small Hospital,,38,"23,662",,,,,,"23,662",,"24,246",13,"19,228","1,195","1,380"
626,CARLETON PLACE & DISTRICT,Small Hospital,,21,"6,677",,,,,,"6,677",,"27,208",,"18,976","1,330",576
627,CHAPLEAU SER DE SANTÉ DE CHAPLEAU,Small Hospital,,39,"2,128",,,,"2,139","6,878","11,145",,"6,068",,"4,060",,173
632,TORONTO NORTH YORK GENERAL,Large Community Hospital,,556,"177,371","6,941",,"14,131",,,"198,443",,"313,047","10,197","120,366","30,081","30,478"
633,CLINTON PUBLIC,Small Hospital,,,,,,,,,,,,,,,
638,COCHRANE LADY MINTO,Small Hospital,,33,"5,331",,,,"1,717",,"7,048",,"12,637",,"9,774",500,262
640,COLLINGWOOD GENERAL AND MARINE HOSP,Large Community Hospital,,84,"29,368","1,379",,,,,"30,747",,"63,186",,"39,761","6,148","6,390"
644,CORNWALL HOTEL DIEU,Small Hospital,,58,,,,,"19,815",,"19,815",,,,,,488
646,DEEP RIVER AND DISTRICT,Small Hospital,,16,"5,243",,,,,,"5,243",,"14,660",,"14,371",,268
647,DRYDEN REGIONAL HEALTH CENTRE,Small Hospital,,41,"12,284",,,,27,,"12,311",,"30,517",768,"17,797","1,780","1,599"
648,DUNNVILLE HALDIMAND WAR MEMORIAL,Small Hospital,,39,"11,146",,,,"2,030",,"13,176",,"24,323",,"22,635","2,207",777
650,ELLIOT LAKE ST JOSEPH'S,Small Hospital,,52,"13,894","1,250",,,,,"15,144",,"12,818","1,251","6,030",,"1,251"
651,OTTAWA ROYAL OTTAWA (PSYCH),Specialty Mental Health Hospital,,197,,,,"92,993",,,"92,993",,"36,581","2,406",,,"2,126"
654,ESPANOLA GENERAL,Small Hospital,,44,"4,254",,,,615,"9,415","14,284",,"16,046",588,"13,521",,577
655,EXETER SOUTH HURON,Small Hospital,,19,"4,806",,"1,009",,123,,"5,938",,"32,254",273,"12,695",,697
656,FERGUS GROVES MEMORIAL,Small Hospital,,27,"19,041",,,,,,"19,041",,"39,704",37,"22,489","3,565","3,218"
661,CAMBRIDGE MEMORIAL,Large Community Hospital,,178,"52,470","3,954",,"6,976",,,"63,400","7,696","122,033","3,249","47,249","29,573","11,123"
