"fac","hospital_name","folder_name","filename","local_path","doc_date","classification","confidence","reasoning","prescreen","ocr_time_s","llm_time_s","word_count","text_preview"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-01-01_board_minutes_yearonly.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-01-01_board_minutes_yearonly.pdf","2025-01-01","SomethingElse","high","The document lacks a dedicated attendance block immediately following the Board of Directors header.",NA,2.25,8.57,592,"Application - Board Director ca Lennox & Addington County General Hospital | Article 3.2 of the Corporate By-Laws identifies that it is the duties and responsibilities of the Board to govern and overs"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-01-07_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-01-07_board_minutes.pdf","2025-01-07","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header, an explicit attendance block labeled 'PRESENT:', and ends with a closing statement.",NA,8.31,6.34,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | January 7, 2025 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital (LA"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-02-04_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-02-04_board_minutes.pdf","2025-02-04","MinutesOnly","high","Document contains a Board of Directors header, an explicit attendance block with named individuals, and ends at an adjournment statement.",NA,7.74,6.12,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | February 4, 2025 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital (L"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-03-04_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-03-04_board_minutes.pdf","2025-03-04","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header with a past meeting date, an explicit attendance block immediately following the header, and ends at an adjournment statement.",NA,10.13,6.68,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | March 4, 2025 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital (LACG"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-04-01_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-04-01_board_minutes.pdf","2025-04-01","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header, an explicit attendance block with named individuals listed as 'PRESENT:', and ends with a closing statement ('Page 2 of 11') indicating the natural end of the minutes record.",NA,12.02,7.59,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | April 1, 2025 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital (LACG"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-05-06_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-05-06_board_minutes.pdf","2025-05-06","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header with a past meeting date, an explicit attendance block immediately following the header, and ends at an adjournment statement.",NA,9.69,6.81,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | May 6, 2025 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital (LACGH)"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-06-03_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-06-03_board_minutes.pdf","2025-06-03","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header, an explicit attendance block with named individuals listed as 'PRESENT:', and ends with a closing statement.",NA,14.91,6.53,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | June 3, 2025 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital (LACGH"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2025-10-09_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2025-10-09_board_minutes.pdf","2025-10-09","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header with a past meeting date, an explicit attendance block labeled 'PRESENT:', and ends at an adjournment statement.",NA,15.72,6.8,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL = BOARD OF DIRECTORS a MEETING MINUTES October 7, 2025 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital ("
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2024-01-09_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2024-01-09_board_minutes.pdf","2024-01-09","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header, an explicit attendance block with named individuals listed as 'PRESENT:', and ends with a closing statement.",NA,7.54,6.41,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | January 9, 2024 Zoom A meeting of the Board of Directors of the Lennox and Addington County General Hospital (LACGH) w"
"592","NAPANEE LENNOX & ADDINGTON","592_NAPANEE_LENNOX_ADDINGTON","2024-02-06_board_minutes.pdf","roles/minutes/outputs/extracted/592_NAPANEE_LENNOX_ADDINGTON/2024-02-06_board_minutes.pdf","2024-02-06","MinutesOnly","high","The document contains a 'BOARD OF DIRECTORS' header with a past meeting date, an explicit attendance block immediately following the header, and ends at an adjournment statement.",NA,8.39,6.72,700,"LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL BOARD OF DIRECTORS MEETING MINUTES | February 6, 2024 Zoom | ACR A meeting of the Board of Directors of the Lennox and Addington County General Hospital (L"
